2026-06-10 22:08:48 | INFO     | backlink_automation | [TaskRun 1448ae5a-b45c-47a0-aa0c-f0f0fa610ffc] Executing step 1/2: Submission on https://maroonbookmarks.com
2026-06-10 22:08:50 | INFO     | backlink_automation | [TaskRun 1448ae5a-b45c-47a0-aa0c-f0f0fa610ffc] Routing to template: pligg
2026-06-10 22:08:50 | INFO     | backlink_automation | Starting PliggGenericTemplate on https://maroonbookmarks.com for client_site=https://leadflowprime.com, keyword=Taigun price in kerala
2026-06-10 22:08:50 | INFO     | backlink_automation | Navigating to home page
2026-06-10 22:08:50 | INFO     | backlink_automation | [TaskRun d53b729d-6cf0-4786-8c1e-8359ece17a12] Executing step 1/2: Submission on https://bookmark-vip.com
2026-06-10 22:08:51 | INFO     | backlink_automation | [TaskRun d53b729d-6cf0-4786-8c1e-8359ece17a12] Routing to template: pligg
2026-06-10 22:08:51 | INFO     | backlink_automation | Starting PliggGenericTemplate on https://bookmark-vip.com for client_site=https://leadflowprime.com, keyword=Taigun price in kerala
2026-06-10 22:08:51 | INFO     | backlink_automation | Navigating to home page
2026-06-10 22:08:51 | ERROR    | backlink_automation | Automation failed: Page.goto: net::ERR_ABORTED at https://social-medialink.com/
Call log:
  - navigating to "https://social-medialink.com/", waiting until "domcontentloaded"

2026-06-10 22:08:51 | ERROR    | backlink_automation | [TaskRun 9f4aa585-81ba-49cf-bc73-a78f302f0483] Execution failed: Page.goto: net::ERR_ABORTED at https://social-medialink.com/
Call log:
  - navigating to "https://social-medialink.com/", waiting until "domcontentloaded"

2026-06-10 22:08:51 | ERROR    | backlink_automation | Automation failed: Page.goto: net::ERR_ABORTED at https://maroonbookmarks.com/
Call log:
  - navigating to "https://maroonbookmarks.com/", waiting until "domcontentloaded"

2026-06-10 22:08:51 | ERROR    | backlink_automation | [TaskRun 1448ae5a-b45c-47a0-aa0c-f0f0fa610ffc] Execution failed: Page.goto: net::ERR_ABORTED at https://maroonbookmarks.com/
Call log:
  - navigating to "https://maroonbookmarks.com/", waiting until "domcontentloaded"

2026-06-10 22:08:54 | INFO     | backlink_automation | Not logged in. Starting registration flow.
2026-06-10 22:08:54 | INFO     | backlink_automation | Registration started with username=backlinkvgd5e6xk
2026-06-10 22:08:54 | INFO     | backlink_automation | Not logged in. Starting registration flow.
2026-06-10 22:08:54 | INFO     | backlink_automation | Registration started with username=backlinkft04kphg
2026-06-10 22:09:09 | INFO     | backlink_automation | Registration attempt 1/3
2026-06-10 22:09:10 | INFO     | backlink_automation | Registration attempt 1/3
2026-06-10 22:09:16 | INFO     | backlink_automation | Attempting to solve SolveMedia captcha with 2captcha...
2026-06-10 22:09:16 | INFO     | backlink_automation | Attempting to solve SolveMedia captcha with 2captcha...
2026-06-10 22:09:16 | INFO     | backlink_automation | Sending image to 2captcha service...
2026-06-10 22:09:16 | INFO     | backlink_automation | Sending image to 2captcha service...
2026-06-10 22:09:23 | INFO     | backlink_automation | 2captcha predicted: 'forkeeps'
2026-06-10 22:09:25 | INFO     | backlink_automation | 2captcha predicted: 'forkeeps'
2026-06-10 22:09:29 | WARNING  | backlink_automation | Invalid captcha detected. Retrying...
2026-06-10 22:09:29 | INFO     | backlink_automation | Registration attempt 2/3
2026-06-10 22:09:31 | WARNING  | backlink_automation | Invalid captcha detected. Retrying...
2026-06-10 22:09:31 | INFO     | backlink_automation | Registration attempt 2/3
2026-06-10 22:09:37 | INFO     | backlink_automation | Attempting to solve SolveMedia captcha with 2captcha...
2026-06-10 22:09:37 | INFO     | backlink_automation | Sending image to 2captcha service...
2026-06-10 22:09:37 | INFO     | backlink_automation | Attempting to solve SolveMedia captcha with 2captcha...
2026-06-10 22:09:37 | INFO     | backlink_automation | Sending image to 2captcha service...
2026-06-10 22:10:09 | INFO     | backlink_automation | 2captcha predicted: 'take it all'
2026-06-10 22:10:15 | INFO     | backlink_automation | Registration successful, redirected to user page.
2026-06-10 22:10:15 | INFO     | backlink_automation | Registration flow finished
2026-06-10 22:10:15 | INFO     | backlink_automation | Bookmark submission started: url=https://leadflowprime.com, keyword=Taigun price in kerala
2026-06-10 22:10:17 | INFO     | backlink_automation | Step 1: Submitting URL
2026-06-10 22:10:18 | INFO     | backlink_automation | 2captcha predicted: 'take it all'
2026-06-10 22:10:23 | INFO     | backlink_automation | Step 2: Filling Article Details
2026-06-10 22:10:27 | WARNING  | backlink_automation | Invalid captcha detected. Retrying...
2026-06-10 22:10:27 | INFO     | backlink_automation | Registration attempt 3/3
2026-06-10 22:10:30 | INFO     | backlink_automation | Solving captcha on submit page... (Attempt 1/3)
2026-06-10 22:10:30 | INFO     | backlink_automation | Attempting to solve SolveMedia captcha with 2captcha...
2026-06-10 22:10:30 | INFO     | backlink_automation | Sending image to 2captcha service...
2026-06-10 22:10:57 | ERROR    | backlink_automation | Timeout during automation: Locator.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("#reg_username")

2026-06-10 22:10:57 | ERROR    | backlink_automation | [TaskRun b3d985f0-6414-48f1-b358-4225ac5a64f5] Execution failed: Timeout: Locator.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("#reg_username")

2026-06-10 22:11:02 | INFO     | backlink_automation | 2captcha predicted: 'nercolas cerg'
2026-06-10 22:11:04 | INFO     | backlink_automation | Bookmark form submitted. Waiting for result...
2026-06-10 22:11:09 | INFO     | backlink_automation | Bookmark submitted. Extracted backlink: https://bookmark-vip.com/story21714412/taigun-price-in-kerala
2026-06-10 22:11:09 | INFO     | backlink_automation | Successfully created backlink: https://bookmark-vip.com/story21714412/taigun-price-in-kerala
2026-06-10 22:11:11 | INFO     | backlink_automation | Found 1 pending workflow runs. Starting concurrent sessions...
2026-06-10 22:11:12 | INFO     | backlink_automation | [TaskRun d53b729d-6cf0-4786-8c1e-8359ece17a12] Executing step 2/2: Verification & Reporting on https://bookmark-vip.com
2026-06-10 22:11:13 | INFO     | backlink_automation | [TaskRun d53b729d-6cf0-4786-8c1e-8359ece17a12] Intercepted Reporting Step.
2026-06-10 23:34:57 | ERROR    | backlink_automation | Error polling queue: [Errno 11001] getaddrinfo failed
2026-06-11 05:42:33 | ERROR    | backlink_automation | Error polling queue: [Errno 11001] getaddrinfo failed
